"id","name","fullname","capital","area_km2","currency"
1,"Австралия","Австралийский Союз","Канберра","7692024.00","Австралийский доллар (AUD)"
2,"Австрия","Австрийская Республика","Вена","83871.00","Евро (EUR)"
3,"Азербайджан","Азербайджанская Республика","Баку","86600.00","Азербайджанский манат (AZN)"
4,"Албания","Республика Албания","Тирана","28748.00","Лек (ALL)"
5,"Алжир","Алжирская Народная Демократическая Республика","Алжир","2381741.00","Алжирский динар (DZD)"
6,"Ангола","Республика Ангола","Луанда","1246700.00","Кванза (AOA)"
7,"Андорра","Княжество Андорра","Андорра-ла-Велья","468.00","Евро (EUR)"
8,"Антигуа и Барбуда","Антигуа и Барбуда","Сент-Джонс","442.00","Восточно-карибский доллар (XCD)"
9,"Аргентина","Аргентинская Республика","Буэнос-Айрес","2780400.00","Аргентинское песо (ARS)"
10,"Армения","Республика Армения","Ереван","29743.00","Армянский драм (AMD)"
11,"Афганистан","Исламская Республика Афганистан","Кабул","652230.00","Афгани (AFN)"
12,"Багамы","Содружество Багамских Островов","Нассау","13943.00","Багамский доллар (BSD)"
13,"Бангладеш","Народная Республика Бангладеш","Дакка","147570.00","Така (BDT)"
14,"Барбадос","Барбадос","Бриджтаун","430.00","Барбадосский доллар (BBD)"
15,"Бахрейн","Королевство Бахрейн","Манама","765.00","Бахрейнский динар (BHD)"
16,"Беларусь","Республика Беларусь","Минск","207600.00","Белорусский рубль (BYN)"
17,"Белиз","Белиз","Бельмопан","22966.00","Белизский доллар (BZD)"
18,"Бельгия","Королевство Бельгия","Брюссель","30528.00","Евро (EUR)"
19,"Бенин","Республика Бенин","Порто-Ново","112622.00","Франк КФА (XOF)"
20,"Болгария","Республика Болгария","София","110994.00","Болгарский лев (BGN)"
21,"Боливия","Многонациональное Государство Боливия","Сукре","1098580.00","Боливиано (BOB)"
22,"Босния и Герцеговина","Босния и Герцеговина","Сараево","51209.00","Конвертируемая марка (BAM)"
23,"Ботсвана","Республика Ботсвана","Габороне","581730.00","Пула (BWP)"
24,"Бразилия","Федеративная Республика Бразилия","Бразилиа","8515767.00","Бразильский реал (BRL)"
25,"Бруней","Государство Бруней-Даруссалам","Бандар-Сери-Бегаван","5765.00","Брунейский доллар (BND)"
26,"Буркина-Фасо","Буркина-Фасо","Уагадугу","274200.00","Франк КФА (XOF)"
27,"Бурунди","Республика Бурунди","Гитега","27830.00","Бурундийский франк (BIF)"
28,"Бутан","Королевство Бутан","Тхимпху","38394.00","Нгултрум (BTN)"
29,"Вануату","Республика Вануату","Порт-Вила","12189.00","Вануатский вату (VUV)"
30,"Великобритания","Соединённое Королевство Великобритании и Северной Ирландии","Лондон","242495.00","Фунт стерлингов (GBP)"
31,"Венгрия","Венгрия","Будапешт","93030.00","Венгерский форинт (HUF)"
32,"Венесуэла","Боливарианская Республика Венесуэла","Каракас","916445.00","Венесуэльский боливар (VES)"
33,"Вьетнам","Социалистическая Республика Вьетнам","Ханой","331212.00","Вьетнамский донг (VND)"
34,"Габон","Габонская Республика","Либревиль","267667.00","Франк КФА (XAF)"
35,"Гаити","Республика Гаити","Порт-о-Пренс","27750.00","Гурд (HTG)"
36,"Гайана","Кооперативная Республика Гайана","Джорджтаун","214969.00","Гайанский доллар (GYD)"
37,"Гамбия","Республика Гамбия","Банжул","10689.00","Даласи (GMD)"
38,"Гана","Республика Гана","Аккра","238533.00","Ганский седи (GHS)"
39,"Гватемала","Республика Гватемала","Гватемала","108889.00","Гватемальский кетсаль (GTQ)"
40,"Гвинея","Гвинейская Республика","Конакри","245857.00","Гвинейский франк (GNF)"
41,"Гвинея-Бисау","Республика Гвинея-Бисау","Бисау","36125.00","Франк КФА (XOF)"
42,"Германия","Федеративная Республика Германия","Берлин","357022.00","Евро (EUR)"
43,"Гондурас","Республика Гондурас","Тегусигальпа","112492.00","Гондурасская лемпира (HNL)"
44,"Гренада","Гренада","Сент-Джорджес","344.00","Восточно-карибский доллар (XCD)"
45,"Греция","Греческая Республика","Афины","131957.00","Евро (EUR)"
46,"Грузия","Грузия","Тбилиси","69700.00","Грузинский лари (GEL)"
47,"Дания","Королевство Дания","Копенгаген","43094.00","Датская крона (DKK)"
48,"Джибути","Республика Джибути","Джибути","23200.00","Джибутийский франк (DJF)"
49,"Доминика","Содружество Доминики","Розо","751.00","Восточно-карибский доллар (XCD)"
50,"Доминиканская Республика","Доминиканская Республика","Санто-Доминго","48671.00","Доминиканское песо (DOP)"
51,"Египет","Арабская Республика Египет","Каир","1002450.00","Египетский фунт (EGP)"
52,"Замбия","Республика Замбия","Лусака","752612.00","Замбийская квача (ZMW)"
53,"Зимбабве","Республика Зимбабве","Хараре","390757.00","Доллар США (USD)"
54,"Израиль","Государство Израиль","Иерусалим","20770.00","Новый шекель (ILS)"
55,"Индия","Республика Индия","Нью-Дели","3287263.00","Индийская рупия (INR)"
56,"Индонезия","Республика Индонезия","Джакарта","1904569.00","Индонезийская рупия (IDR)"
57,"Иордания","Иорданское Хашимитское Королевство","Амман","89342.00","Иорданский динар (JOD)"
58,"Ирак","Республика Ирак","Багдад","438317.00","Иракский динар (IQD)"
59,"Иран","Исламская Республика Иран","Тегеран","1648195.00","Иранский риал (IRR)"
60,"Ирландия","Ирландия","Дублин","70273.00","Евро (EUR)"
61,"Исландия","Исландия","Рейкьявик","103000.00","Исландская крона (ISK)"
62,"Испания","Королевство Испания","Мадрид","505990.00","Евро (EUR)"
63,"Италия","Итальянская Республика","Рим","301340.00","Евро (EUR)"
64,"Йемен","Йеменская Республика","Сана","527968.00","Йеменский риал (YER)"
65,"Кабо-Верде","Республика Кабо-Верде","Прая","4033.00","Эскудо Кабо-Верде (CVE)"
66,"Казахстан","Республика Казахстан","Нур-Султан","2724900.00","Казахстанский тенге (KZT)"
67,"Камбоджа","Королевство Камбоджа","Пномпень","181035.00","Камбоджийский риель (KHR)"
68,"Камерун","Республика Камерун","Яунде","475442.00","Франк КФА (XAF)"
69,"Канада","Канада","Оттава","9984670.00","Канадский доллар (CAD)"
70,"Катар","Государство Катар","Доха","11586.00","Катарский риал (QAR)"
71,"Кения","Республика Кения","Найроби","580367.00","Кенийский шиллинг (KES)"
72,"Кипр","Республика Кипр","Никосия","9251.00","Евро (EUR)"
73,"Киргизия","Киргизская Республика","Бишкек","199951.00","Киргизский сом (KGS)"
74,"Кирибати","Республика Кирибати","Южная Тарава","811.00","Австралийский доллар (AUD)"
75,"Китай","Китайская Народная Республика","Пекин","9596961.00","Юань (CNY)"
76,"Колумбия","Республика Колумбия","Богота","1141748.00","Колумбийское песо (COP)"
77,"Коморы","Союз Коморских Островов","Морони","1862.00","Коморский франк (KMF)"
78,"Конго (Браззавиль)","Республика Конго","Браззавиль","342000.00","Франк КФА (XAF)"
79,"Конго (Киншаса)","Демократическая Республика Конго","Киншаса","2344858.00","Конголезский франк (CDF)"
80,"Коста-Рика","Республика Коста-Рика","Сан-Хосе","51100.00","Коста-риканский колон (CRC)"
81,"Кот-д’Ивуар","Республика Кот-д’Ивуар","Ямусукро","322463.00","Франк КФА (XOF)"
82,"Куба","Республика Куба","Гавана","109884.00","Кубинское песо (CUP)"
83,"Кувейт","Государство Кувейт","Эль-Кувейт","17818.00","Кувейтский динар (KWD)"
84,"Лаос","Лаосская Народно-Демократическая Республика","Вьентьян","236800.00","Лаосский кип (LAK)"
85,"Латвия","Латвийская Республика","Рига","64559.00","Евро (EUR)"
86,"Лесото","Королевство Лесото","Масеру","30355.00","Лоти (LSL)"
87,"Либерия","Республика Либерия","Монровия","111369.00","Либерийский доллар (LRD)"
88,"Ливан","Ливанская Республика","Бейрут","10452.00","Ливанский фунт (LBP)"
89,"Ливия","Государство Ливия","Триполи","1759540.00","Ливийский динар (LYD)"
